File Name,ObjectID,GlobalId,type,Name,Description,ObjectType,Floor,Building,Material,Volume (m³),Surface Area (m²),Top Elevation (m),Bottom Elevation (m),Centroid X (m),Centroid Y (m),Centroid Z (m),Min X (m),Max X (m),Min Y (m),Max Y (m),Area,CrossSectionArea,Depth,ExtendToStructure,GrossArea,GrossFootprintArea,GrossSideArea,GrossVolume,Height,IsExternal,Length,LoadBearing,NetArea,NetSideArea,NetVolume,OuterSurfaceArea,Perimeter,PitchAngle,Reference,Slope,Span,TypeDefinition_Basiswand,TypeDefinition_Geländer,TypeDefinition_Geschossdecke,TypeDefinition_NWA_FA_Aussenstütze,TypeDefinition_NWA_FA_Aussenstütze_Attika,TypeDefinition_NWA_FA_Aussenstütze_Attika_Ecke,TypeDefinition_NWA_FA_Aussenstütze_Ecke,TypeDefinition_NWA_FA_FE_Holz-Metall,TypeDefinition_NWA_FA_FE_Holz-Metall_Erweiterung,TypeDefinition_NWA_FA_FE_Holz-Metall_Erweiterung_Oeffenbar,TypeDefinition_NWA_FA_Paneel_Brise-solei-West,TypeDefinition_NWA_FA_Paneel_Brise-solei_tiefer,TypeDefinition_NWA_FA_Paneel_Brise-soleil,TypeDefinition_NWA_FA_Paneel_Brise-soleil-Stütze,TypeDefinition_NWA_FA_Paneel_Brüstung_EG,TypeDefinition_NWA_FA_Paneel_Brüstung_RG,TypeDefinition_NWA_FA_Panel_Einfach,TypeDefinition_NWA_FA_Panel_Fenster,TypeDefinition_NWA_FA_Panel_Schichten,TypeDefinition_NWA_FA_Panel_Schichten_EIngang,TypeDefinition_NWA_FA_Panel_Schichten_HRL,TypeDefinition_NWA_FA_WDM,TypeDefinition_NWA_Holz_Rechteckigestütze,TypeDefinition_NWA_Pfosten_Life-Line,TypeDefinition_NWA_TOR_Rollgitter LKW 1,TypeDefinition_NWA_TOR_Rollgittertor,TypeDefinition_NWA_TOR_Schnelllauftor,TypeDefinition_NWA_TOR_Sektionaltor,TypeDefinition_NWA_TOR_Sektionaltor_Typ 2,TypeDefinition_NWA_TRÄ_Massivholz,TypeDefinition_NW_TUR_DRF_BLZ_1FL,TypeDefinition_NW_TUR_DRF_BLZ_2FL,TypeDefinition_NW_TUR_DRF_GLB_1FL_Fassade,TypeDefinition_NW_TUR_SCH_GLB_2FL_Fassade,TypeDefinition_Rechteckiger Pfosten,Width
temp_input.ifc,90564,3V_$LHCEL2_h4mpd$K7Slt,IfcBeam,NWA_TRÄ_Massivholz:TRT_AU_HLZ_200x920:3091392,N/A,NWA_TRÄ_Massivholz:TRT_AU_HLZ_200x920,000_OK_BP,BAU 15,No material assigned,1.66,20.53,4.41,3.49,77.75,2.95,3.95,77.65,77.85,-1.55,7.45,,0.18399999999999786,,,,,,1.6559999989780225,,True,8.99999999444588,True,,,1.6559999989780132,20.15999998755888,,,TRT_AU_HLZ_200x920,0.0,9.199999994445658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRT_AU_HLZ_200x920: Pset_BeamCommon,,,,,,
temp_input.ifc,90598,3V_$LHCEL2_h4mpd$K7Sls,IfcBeam,NWA_TRÄ_Massivholz:TRT_AU_HLZ_200x920:3091393,N/A,NWA_TRÄ_Massivholz:TRT_AU_HLZ_200x920,000_OK_BP,BAU 15,No material assigned,1.66,20.53,4.41,3.49,85.75,2.95,3.95,85.65,85.85,-1.55,7.45,,0.18399999999999786,,,,,,1.6559999989780225,,True,8.99999999444588,True,,,1.6559999989780132,20.15999998755888,,,TRT_AU_HLZ_200x920,0.0,9.199999994445625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRT_AU_HLZ_200x920: Pset_BeamCommon,,,,,,
temp_input.ifc,90629,3V_$LHCEL2_h4mpd$K7Slr,IfcBeam,NWA_TRÄ_Massivholz:TRT_AU_HLZ_200x1260:3091394,N/A,NWA_TRÄ_Massivholz:TRT_AU_HLZ_200x1260,000_OK_BP,BAU 15,No material assigned,2.27,26.78,4.75,3.49,53.75,2.95,4.12,53.65,53.85,-1.55,7.45,,0.2520000000000026,,,,,,2.267999998600385,,True,8.99999999444588,True,,,2.2679999986003594,26.279999983781916,,,TRT_AU_HLZ_200x1260,0.0,9.199999994445712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRT_AU_HLZ_200x1260: Pset_BeamCommon,,,,,,
temp_input.ifc,90663,3V_$LHCEL2_h4mpd$K7Slq,IfcBeam,NWA_TRÄ_Massivholz:TRT_AU_HLZ_200x1260:3091395,N/A,NWA_TRÄ_Massivholz:TRT_AU_HLZ_200x1260,000_OK_BP,BAU 15,No material assigned,2.27,26.78,4.75,3.49,93.75,2.95,4.12,93.65,93.85,-1.55,7.45,,0.25199999999999717,,,,,,2.267999998600332,,True,8.999999994445862,True,,,2.2679999986003594,26.279999983782023,,,TRT_AU_HLZ_200x1260,0.0,9.199999994445625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRT_AU_HLZ_200x1260: Pset_BeamCommon,,,,,,
temp_input.ifc,95159,3V_$LHCEL2_h4mpd$K7Smo,IfcBeam,NWA_TRÄ_Massivholz:TRT_AU_HLZ_200x600:3091461,N/A,NWA_TRÄ_Massivholz:TRT_AU_HLZ_200x600,000_OK_BP,BAU 15,No material assigned,0.94,12.72,4.41,3.81,73.75,6.12,4.11,69.85,77.65,6.02,6.22,,0.11999999999999872,,,,,,0.9360000000016403,,True,7.800000000013752,True,,,0.9360000000016514,12.480000000022105,,,TRT_AU_HLZ_200x600,0.0,7.999999999999983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRT_AU_HLZ_200x600: Pset_BeamCommon,,,,,,
temp_input.ifc,95193,3V_$LHCEL2_h4mpd$K7Smn,IfcBeam,NWA_TRÄ_Massivholz:TRT_AU_HLZ_200x600:3091462,N/A,NWA_TRÄ_Massivholz:TRT_AU_HLZ_200x600,000_OK_BP,BAU 15,No material assigned,0.94,12.72,4.41,3.81,81.75,6.12,4.11,77.85,85.65,6.02,6.22,,0.11999999999999872,,,,,,0.9360000000016403,,True,7.800000000013752,True,,,0.9360000000016339,12.480000000022105,,,TRT_AU_HLZ_200x600,0.0,8.000000000000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRT_AU_HLZ_200x600: Pset_BeamCommon,,,,,,
temp_input.ifc,95224,3V_$LHCEL2_h4mpd$K7Smm,IfcBeam,NWA_TRÄ_Massivholz:TRT_AU_HLZ_200x600:3091463,N/A,NWA_TRÄ_Massivholz:TRT_AU_HLZ_200x600,000_OK_BP,BAU 15,No material assigned,0.94,12.72,4.41,3.81,89.75,6.12,4.11,85.85,93.65,6.02,6.22,,0.11999999999999872,,,,,,0.9359999999978605,,True,7.799999999982253,True,,,0.9359999999978539,12.479999999971707,,,TRT_AU_HLZ_200x600,0.0,7.999999999982276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRT_AU_HLZ_200x600: Pset_BeamCommon,,,,,,
temp_input.ifc,95255,3V_$LHCEL2_h4mpd$K7Sm$,IfcBeam,NWA_TRÄ_Massivholz:TRT_AU_HLZ_200x600:3091464,N/A,NWA_TRÄ_Massivholz:TRT_AU_HLZ_200x600,000_OK_BP,BAU 15,No material assigned,0.94,12.72,4.41,3.81,57.75,6.12,4.11,53.85,61.65,6.02,6.22,,0.11999999999999872,,,,,,0.9359999949792505,,True,7.799999958160504,True,,,0.9359999949792608,12.47999993305691,,,TRT_AU_HLZ_200x600,0.0,7.999999958146736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRT_AU_HLZ_200x600: Pset_BeamCommon,,,,,,
temp_input.ifc,95286,3V_$LHCEL2_h4mpd$K7Sm_,IfcBeam,NWA_TRÄ_Massivholz:TRT_AU_HLZ_200x600:3091465,N/A,NWA_TRÄ_Massivholz:TRT_AU_HLZ_200x600,000_OK_BP,BAU 15,No material assigned,0.94,12.72,4.41,3.81,65.75,6.12,4.11,61.85,69.65,6.02,6.22,,0.11999999999999872,,,,,,0.9360000000016403,,True,7.800000000013752,True,,,0.9360000000016339,12.480000000022105,,,TRT_AU_HLZ_200x600,0.0,7.999999999617384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRT_AU_HLZ_200x600: Pset_BeamCommon,,,,,,
temp_input.ifc,95416,3V_$LHCEL2_h4mpd$K7SmL,IfcBeam,NWA_TRÄ_Massivholz:TRT_AU_HLZ_280x340:3091490,N/A,NWA_TRÄ_Massivholz:TRT_AU_HLZ_280x340,000_OK_BP,BAU 15,No material assigned,0.75,9.99,4.75,4.41,89.70,7.31,4.58,85.75,93.65,7.17,7.45,,0.09520000000000198,,,,,,0.7520799959207486,,True,7.899999957150556,True,,,0.7520799959207379,9.795999946866772,,,TRT_AU_HLZ_280x340,0.0,7.999999957746404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRT_AU_HLZ_280x340: Pset_BeamCommon,,,,,,
temp_input.ifc,95450,3V_$LHCEL2_h4mpd$K7SmK,IfcBeam,NWA_TRÄ_Massivholz:TRT_AU_HLZ_280x340:3091491,N/A,NWA_TRÄ_Massivholz:TRT_AU_HLZ_280x340,000_OK_BP,BAU 15,No material assigned,0.76,10.11,4.75,4.42,81.75,7.31,4.58,77.75,85.75,7.17,7.45,,0.09520000000000198,,,,,,0.7616000039061125,,True,8.000000041030427,True,,,0.7616000039061024,9.920000050877814,,,TRT_AU_HLZ_280x340,0.0,8.000000042235893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRT_AU_HLZ_280x340: Pset_BeamCommon,,,,,,
